ID,FIRST_DASHBOARD_ID,SECOND_DASHBOARD_ID,CONFIGAPP_DASHBOARD_ID,BLOCK_XBOX_LIVE,FIRST_PLUGIN_ID,SECOND_PLUGIN_ID,THIRD_PLUGIN_ID,FOURTH_PLUGIN_ID,FIFTH_PLUGIN_ID,IS_VALID,NOTES
1,,,,0,,,,,,0,"Unsafe, latest dash, unblocked XBL, no stealth."
2,,,,1,,,,,,1,"Safe, latest dash, blocked XBL, no stealth."
3,,,,0,,,1,,,1,"Safe, latest dash, unblocked XBL, has stealth."
4,,,,0,,,2,,,1,"Safe, latest dash, unblocked XBL, has stealth."
5,,,,0,,,3,,,1,"Safe, latest dash, unblocked XBL, has stealth."
6,5,,,0,,,,,,0,"Unsafe, custom dash, unblocked XBL, no stealth."
7,5,,,1,,,,,,1,"Safe, custom dash, blocked XBL, no stealth."
8,5,,,0,,,1,,,1,"Safe, custom dash, unblocked XBL, has stealth."
9,5,,,0,,,2,,,1,"Safe, custom dash, unblocked XBL, has stealth."
10,5,,,0,,,3,,,1,"Safe, custom dash, unblocked XBL, has stealth."
11,1,,1,0,,,,,,0,"Unsafe, boot fails, legacy dash, unblocked XBL, no stealth."
12,1,,1,1,,,,,,0,"Safe, boot fails, legacy dash, blocked XBL, no stealth."
13,1,,1,0,,,1,,,1,"Safe, boots, legacy dash, unblocked XBL, has stealth."
14,1,,1,0,,,2,,,1,"Safe, boots, legacy dash, unblocked XBL, has stealth."
15,1,,1,0,,,3,,,1,"Safe, boots, legacy dash, unblocked XBL, has stealth."
16,1,,1,1,,,1,,,1,"Safe, boots, legacy dash, blocked XBL, has stealth."
17,1,,1,1,,,2,,,0,"Safe, boot fails, legacy dash, blocked XBL, has stealth."
18,1,,1,1,,,3,,,0,"Safe, boot fails, legacy dash, blocked XBL, has stealth."
19,2,,2,0,,,,,,0,"Unsafe, boot fails, legacy dash, unblocked XBL, no stealth."
20,2,,2,1,,,,,,0,"Safe, boot fails, legacy dash, blocked XBL, no stealth."
21,2,,2,0,,,1,,,1,"Safe, boots, legacy dash, unblocked XBL, has stealth."
22,2,,2,0,,,2,,,1,"Safe, boots, legacy dash, unblocked XBL, has stealth."
23,2,,2,0,,,3,,,1,"Safe, boots, legacy dash, unblocked XBL, has stealth."
24,2,,2,1,,,1,,,1,"Safe, boots, legacy dash, blocked XBL, has stealth."
25,2,,2,1,,,2,,,0,"Safe, boot fails, legacy dash, blocked XBL, has stealth."
26,2,,2,1,,,3,,,0,"Safe, boot fails, legacy dash, blocked XBL, has stealth."
27,3,,3,0,,,,,,0,"Unsafe, boot fails, legacy dash, unblocked XBL, no stealth."
28,3,,3,1,,,,,,0,"Safe, boot fails, legacy dash, blocked XBL, no stealth."
29,3,,3,0,,,1,,,1,"Safe, boots, legacy dash, unblocked XBL, has stealth."
30,3,,3,0,,,2,,,1,"Safe, boots, legacy dash, unblocked XBL, has stealth."
31,3,,3,0,,,3,,,1,"Safe, boots, legacy dash, unblocked XBL, has stealth."
32,3,,3,1,,,1,,,1,"Safe, boots, legacy dash, blocked XBL, has stealth."
33,3,,3,1,,,2,,,0,"Safe, boot fails, legacy dash, blocked XBL, has stealth."
34,3,,3,1,,,3,,,0,"Safe, boot fails, legacy dash, blocked XBL, has stealth."
35,4,,4,0,,,,,,0,"Unsafe, boot fails, legacy dash, unblocked XBL, no stealth."
36,4,,4,1,,,,,,0,"Safe, boot fails, legacy dash, blocked XBL, no stealth."
37,4,,4,0,,,1,,,1,"Safe, boots, legacy dash, unblocked XBL, has stealth."
38,4,,4,0,,,2,,,1,"Safe, boots, legacy dash, unblocked XBL, has stealth."
39,4,,4,0,,,3,,,1,"Safe, boots, legacy dash, unblocked XBL, has stealth."
40,4,,4,1,,,1,,,1,"Safe, boots, legacy dash, blocked XBL, has stealth."
41,4,,4,1,,,2,,,0,"Safe, boot fails, legacy dash, blocked XBL, has stealth."
42,4,,4,1,,,3,,,0,"Safe, boot fails, legacy dash, blocked XBL, has stealth."
