ID,TYPE_ID,IS_VALID,PATH
1,1,1,debug
2,1,0,debugging
3,1,0,dev
4,1,0,development
5,2,0,lan
6,2,1,local
7,2,0,local-area-network
8,2,0,local-area
9,2,0,net
10,2,0,network
11,2,0,networks
12,2,0,servers
13,3,0,internet
14,3,0,live
15,3,0,online
16,3,0,server
17,3,0,servers
18,3,1,stealth
19,3,0,stealths
20,3,0,wan
21,3,0,wide
22,3,0,wide-area
23,3,0,net
24,3,0,network
25,3,0,networks
26,3,0,xbox-live
27,4,0,fix
28,4,0,fixes
29,4,0,hack
30,4,0,hacks
31,4,1,patch
32,4,0,patches
33,5,0,display
34,5,0,displays
35,5,0,gui
36,5,0,graphic
37,5,0,graphics
38,5,0,hud
39,5,0,heads-up
40,5,1,ui
41,5,0,user-interface
42,5,0,user-interfaces
